"Timestamp","How many months of your life would you sacrifice for a year without covid restrictions?"
"2021/04/17 5:10:41 AM GMT+4",""
"2021/04/17 5:28:14 AM GMT+4","2 years more"
"2021/04/17 5:44:43 AM GMT+4","1 month"
"2021/04/17 5:44:43 AM GMT+4","1 month"
"2021/04/17 5:47:37 AM GMT+4","0 months"
"2021/04/17 5:53:23 AM GMT+4","None.  Fuck you for not having that option.  "
"2021/04/17 5:58:59 AM GMT+4","1 month less (my QoL slightly improved due to COVID restrictions)"
"2021/04/17 5:59:53 AM GMT+4","0"
"2021/04/17 6:04:06 AM GMT+4","3 months"
"2021/04/17 6:15:22 AM GMT+4","0 - there is nothing stopping me from living the way I want right now"
"2021/04/17 6:18:19 AM GMT+4","None"
"2021/04/17 6:19:07 AM GMT+4","1 whole year"
"2021/04/17 6:19:34 AM GMT+4","All of them"
"2021/04/17 6:20:49 AM GMT+4","2 years"
"2021/04/17 6:21:39 AM GMT+4","1 whole year"
"2021/04/17 6:23:50 AM GMT+4","1 day"
"2021/04/17 6:24:01 AM GMT+4","5 years"
"2021/04/17 6:26:09 AM GMT+4","None"
"2021/04/17 6:31:36 AM GMT+4","1 whole year"
"2021/04/17 6:35:53 AM GMT+4","4 months"
"2021/04/17 6:49:35 AM GMT+4","10 days"
"2021/04/17 6:50:03 AM GMT+4","0"
"2021/04/17 6:50:53 AM GMT+4","1 day"
"2021/04/17 7:02:53 AM GMT+4","0"
"2021/04/17 7:07:05 AM GMT+4","Not a second."
"2021/04/17 7:34:33 AM GMT+4","2 months"
"2021/04/17 7:59:33 AM GMT+4","More than year.  Fuck.  This.  Shit.  Democracy anyone?"
"2021/04/17 8:04:27 AM GMT+4","1 whole year"
"2021/04/17 8:04:27 AM GMT+4","0"
"2021/04/17 8:08:58 AM GMT+4","0 months"
"2021/04/17 8:14:27 AM GMT+4","3 months"
"2021/04/17 8:17:28 AM GMT+4","10 years"
"2021/04/17 8:23:10 AM GMT+4","1 whole year"
"2021/04/17 8:25:25 AM GMT+4","2 months"
"2021/04/17 8:33:39 AM GMT+4","0"
"2021/04/17 8:45:16 AM GMT+4","zero"
